test ndcg 1:0.1322, 3:0.1507, 5:0.1653, 7:0.1818, 10:0.2081
test ndcg 1:0.1103, 3:0.1443, 5:0.1576, 7:0.1743, 10:0.2002
test ndcg 1:0.1126, 3:0.1420, 5:0.1606, 7:0.1800, 10:0.2086
test ndcg 1:0.1126, 3:0.1419, 5:0.1675, 7:0.1924, 10:0.2191
test ndcg 1:0.1023, 3:0.1292, 5:0.1556, 7:0.1772, 10:0.2101
test ndcg 1:0.1000, 3:0.1350, 5:0.1611, 7:0.1875, 10:0.2137
test ndcg 1:0.0954, 3:0.1376, 5:0.1567, 7:0.1772, 10:0.2059
test ndcg 1:0.1011, 3:0.1302, 5:0.1473, 7:0.1665, 10:0.1985
test ndcg 1:0.0931, 3:0.1273, 5:0.1529, 7:0.1760, 10:0.2085
test ndcg 1:0.0885, 3:0.1213, 5:0.1405, 7:0.1625, 10:0.1929
test ndcg 1:0.1000, 3:0.1202, 5:0.1474, 7:0.1690, 10:0.2042
test ndcg 1:0.1057, 3:0.1215, 5:0.1446, 7:0.1710, 10:0.2024
test ndcg 1:0.1034, 3:0.1212, 5:0.1444, 7:0.1693, 10:0.2019
test ndcg 1:0.1011, 3:0.1289, 5:0.1510, 7:0.1709, 10:0.2013
test ndcg 1:0.1034, 3:0.1442, 5:0.1785, 7:0.2080, 10:0.2466
test ndcg 1:0.1046, 3:0.1332, 5:0.1530, 7:0.1760, 10:0.2025
test ndcg 1:0.1046, 3:0.1286, 5:0.1496, 7:0.1742, 10:0.2029
test ndcg 1:0.1092, 3:0.1368, 5:0.1625, 7:0.1875, 10:0.2185
test ndcg 1:0.1276, 3:0.1411, 5:0.1642, 7:0.1910, 10:0.2192
test ndcg 1:0.1207, 3:0.1455, 5:0.1667, 7:0.1912, 10:0.2168
test ndcg 1:0.1218, 3:0.1516, 5:0.1706, 7:0.1938, 10:0.2211
test ndcg 1:0.0931, 3:0.1203, 5:0.1439, 7:0.1656, 10:0.1981
test ndcg 1:0.0989, 3:0.1345, 5:0.1602, 7:0.1859, 10:0.2144
test ndcg 1:0.0966, 3:0.1247, 5:0.1530, 7:0.1814, 10:0.2120
test ndcg 1:0.0943, 3:0.1226, 5:0.1437, 7:0.1746, 10:0.2053
test ndcg 1:0.0931, 3:0.1215, 5:0.1493, 7:0.1744, 10:0.2070
test ndcg 1:0.0851, 3:0.1153, 5:0.1473, 7:0.1713, 10:0.2055
test ndcg 1:0.0954, 3:0.1202, 5:0.1509, 7:0.1747, 10:0.2056
test ndcg 1:0.1034, 3:0.1208, 5:0.1460, 7:0.1699, 10:0.2020
test ndcg 1:0.0966, 3:0.1250, 5:0.1489, 7:0.1723, 10:0.2021
test ndcg 1:0.0977, 3:0.1347, 5:0.1716, 7:0.2044, 10:0.2409
test ndcg 1:0.1046, 3:0.1369, 5:0.1524, 7:0.1759, 10:0.2022
test ndcg 1:0.1126, 3:0.1422, 5:0.1668, 7:0.1903, 10:0.2183
test ndcg 1:0.1172, 3:0.1516, 5:0.1680, 7:0.1878, 10:0.2132
test ndcg 1:0.1138, 3:0.1478, 5:0.1631, 7:0.1810, 10:0.2085
test ndcg 1:0.1046, 3:0.1378, 5:0.1573, 7:0.1779, 10:0.2046
test ndcg 1:0.1034, 3:0.1304, 5:0.1510, 7:0.1733, 10:0.2006
test ndcg 1:0.1057, 3:0.1326, 5:0.1481, 7:0.1691, 10:0.1966
test ndcg 1:0.1046, 3:0.1305, 5:0.1476, 7:0.1674, 10:0.1949
test ndcg 1:0.1023, 3:0.1266, 5:0.1413, 7:0.1638, 10:0.1900
test ndcg 1:0.1057, 3:0.1254, 5:0.1377, 7:0.1552, 10:0.1865
test ndcg 1:0.1057, 3:0.1153, 5:0.1346, 7:0.1528, 10:0.1802
test ndcg 1:0.1011, 3:0.1259, 5:0.1435, 7:0.1651, 10:0.1913
test ndcg 1:0.0977, 3:0.1209, 5:0.1387, 7:0.1590, 10:0.1863
test ndcg 1:0.1011, 3:0.1212, 5:0.1406, 7:0.1652, 10:0.1930
test ndcg 1:0.1057, 3:0.1351, 5:0.1547, 7:0.1765, 10:0.2045
test ndcg 1:0.1103, 3:0.1318, 5:0.1543, 7:0.1773, 10:0.2051
test ndcg 1:0.0966, 3:0.1271, 5:0.1518, 7:0.1735, 10:0.2014
test ndcg 1:0.1138, 3:0.1401, 5:0.1620, 7:0.1852, 10:0.2192
test ndcg 1:0.0977, 3:0.1241, 5:0.1521, 7:0.1755, 10:0.2084
test ndcg 1:0.1195, 3:0.1571, 5:0.1770, 7:0.2032, 10:0.2327
test ndcg 1:0.1448, 3:0.1708, 5:0.1914, 7:0.2122, 10:0.2415
test ndcg 1:0.1126, 3:0.1358, 5:0.1597, 7:0.1858, 10:0.2146
test ndcg 1:0.2598, 3:0.2516, 5:0.2630, 7:0.2748, 10:0.2946
test ndcg 1:0.1655, 3:0.2091, 5:0.2358, 7:0.2521, 10:0.2728
test ndcg 1:0.1483, 3:0.1922, 5:0.2133, 7:0.2310, 10:0.2560
test ndcg 1:0.1529, 3:0.1941, 5:0.2159, 7:0.2334, 10:0.2586
test ndcg 1:0.3379, 3:0.3582, 5:0.3666, 7:0.3742, 10:0.3872
test ndcg 1:0.3425, 3:0.3666, 5:0.3667, 7:0.3755, 10:0.3896
test ndcg 1:0.3230, 3:0.3197, 5:0.3269, 7:0.3369, 10:0.3527
test ndcg 1:0.3115, 3:0.3083, 5:0.3164, 7:0.3228, 10:0.3374
test ndcg 1:0.2598, 3:0.2530, 5:0.2663, 7:0.2773, 10:0.2973
